"BIN Master Name","BIN Master Id","Area","Floor","BIN Type","Max Quantity","Stock","Type","Dynamic_Flag","Hazardous_Flag","Division","Material Name","Remarks"
"1004-0341","1-TM-BIN_MASTER-76","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0345","1-TM-BIN_MASTER-77","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0351","1-TM-BIN_MASTER-78","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0355","1-TM-BIN_MASTER-79","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0361","1-TM-BIN_MASTER-80","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0365","1-TM-BIN_MASTER-81","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0371","1-TM-BIN_MASTER-82","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0375","1-TM-BIN_MASTER-83","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0381","1-TM-BIN_MASTER-84","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0385","1-TM-BIN_MASTER-85","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0391","1-TM-BIN_MASTER-86","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0395","1-TM-BIN_MASTER-87","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0400","1-TM-BIN_MASTER-88","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0415","1-TM-BIN_MASTER-89","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-0445","1-TM-BIN_MASTER-90","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-4151","1-TM-BIN_MASTER-91","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-4191","1-TM-BIN_MASTER-92","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
