BIN Master Name,BIN Master Id,Area,Floor,BIN Type,Max Quantity,Stock,Type,Dynamic_Flag,Hazardous_Flag,Division,Material Name,Remarks
1006-0353,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0355,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0357,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0371,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0373,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0375,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0377,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0391,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0397,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0400,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0401,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0403,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0405,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0407,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0411,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0413,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0414,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0415,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0421,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0423,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0425,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0427,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0431,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0433,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0435,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0437,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0443,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0445,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0511,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
10060511(BOX),,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0520,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0521,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0531,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0541,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0551,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0561,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0571,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0581,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0591,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-0593,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-6123,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
1006-6131,,Spare Parts,Ground,Medium,999999,,Generic,,,1-J30J21,,
2002-0100,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0111,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0171,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0200,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0201,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0205,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0211,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0215,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0221,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0225,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0231,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0235,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0241,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0245,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0251,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0255,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0261,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0265,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0300,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0311,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0315,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0321,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0325,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0331,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0351,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0361,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0371,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0375,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0381,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0385,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0391,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0395,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0405,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0411,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0415,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0425,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0445,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0465,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0471,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0475,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0485,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0491,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2002-0495,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0100,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0111,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0113,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0115,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0117,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0131,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0133,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0135,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0137,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0151,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0153,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0155,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0157,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0171,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0173,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0175,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0177,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0191,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0193,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0195,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0197,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0201,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0231,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0291,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0400,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0411,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0431,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
2003-0471,,Spare Parts,First,Medium,999999,,Generic,,,1-J30J21,,
